Pattern_Amp_CH-1	Pattern_Amp_CH-2	Pattern_Amp_CH-3
0.598766	0.150018	0.251217
0.598777	0.150183	0.25104
0.598827	0.15033	0.250843
0.598898	0.150464	0.250638
0.598971	0.15059	0.250438
0.599039	0.150711	0.25025
0.599102	0.150826	0.250072
0.599157	0.150941	0.249902
0.599198	0.151064	0.249737
0.59924	0.151186	0.249574
0.599292	0.151293	0.249415
0.599352	0.151378	0.24927
0.599414	0.151444	0.249142
0.599468	0.151506	0.249027
0.599505	0.151587	0.248907
0.59952	0.151704	0.248776
0.599518	0.151841	0.248641
0.59951	0.151977	0.248513
0.599503	0.152102	0.248395
0.599502	0.152214	0.248284
0.5995	0.152322	0.248178
0.599479	0.152444	0.248077
0.599429	0.152591	0.24798
0.599361	0.152753	0.247885
0.599285	0.152922	0.247793
0.599207	0.15309	0.247703
0.599132	0.15325	0.247618
0.599068	0.153397	0.247535
0.599015	0.15353	0.247455
0.598971	0.153651	0.247378
0.598927	0.153766	0.247307
0.598879	0.15388	0.247241
0.598832	0.153991	0.247177
0.598793	0.154091	0.247117
0.598762	0.154177	0.247061
0.598736	0.154252	0.247012
0.598711	0.154321	0.246968
0.598681	0.154389	0.24693
0.598643	0.154457	0.2469
0.598604	0.154523	0.246873
0.59857	0.154585	0.246846
0.598548	0.154636	0.246816
0.59854	0.154674	0.246786
0.598537	0.154701	0.246762
0.598535	0.154716	0.246749
0.598531	0.154722	0.246747
0.598516	0.154733	0.246751
0.598486	0.154759	0.246755
0.598443	0.154795	0.246761
0.598386	0.154842	0.246773
0.598316	0.154904	0.24678
0.59824	0.154988	0.246773
0.59817	0.155079	0.246751
0.598127	0.155157	0.246716
0.598122	0.155213	0.246666
0.598151	0.155248	0.246601
0.598199	0.15527	0.24653
0.598255	0.155284	0.246461
0.59832	0.155291	0.246389
0.598401	0.155289	0.24631
0.598508	0.155271	0.246221
0.598643	0.155232	0.246125
0.598785	0.155185	0.24603
0.598913	0.155132	0.245955
0.599025	0.155069	0.245906
0.599123	0.155005	0.245872
0.59922	0.154943	0.245837
0.599333	0.154869	0.245798
0.599461	0.154778	0.245761
0.59959	0.154676	0.245734
0.59969	0.154594	0.245716
0.599737	0.154569	0.245695
0.599728	0.154605	0.245667
0.59969	0.15467	0.245639
0.599649	0.154741	0.245611
0.599601	0.154823	0.245576
0.59955	0.154921	0.24553
0.599509	0.155027	0.245464
0.599481	0.155143	0.245377
0.599449	0.155273	0.245277
0.599406	0.155417	0.245176
0.599352	0.155572	0.245076
0.599286	0.15574	0.244974
0.599204	0.155929	0.244868
0.599097	0.156136	0.244766
0.598974	0.156347	0.244679
0.598849	0.156547	0.244604
0.59873	0.15673	0.244539
0.598621	0.156897	0.244482
0.598524	0.157049	0.244427
0.598428	0.157187	0.244385
0.598315	0.157305	0.24438
0.598183	0.157407	0.24441
0.598044	0.157498	0.244457
0.597901	0.157583	0.244516
0.597748	0.157668	0.244585
0.597586	0.157757	0.244657
0.597419	0.157854	0.244727
0.597245	0.157958	0.244797
0.597063	0.158063	0.244875
0.59688	0.158161	0.244959
0.596706	0.158247	0.245047
0.596544	0.158327	0.245129
0.5964	0.158401	0.245199
0.596295	0.158455	0.24525
0.596234	0.158482	0.245284
0.596206	0.158488	0.245306
0.596206	0.158478	0.245316
0.596244	0.158448	0.245308
0.596323	0.158396	0.245282
0.596444	0.158316	0.24524
0.596603	0.158211	0.245186
0.59679	0.158088	0.245122
0.596994	0.157954	0.245053
0.597205	0.157813	0.244982
0.597415	0.157671	0.244914
0.597619	0.157529	0.244851
0.597817	0.15739	0.244793
0.598001	0.157264	0.244734
0.59817	0.15716	0.244671
0.598322	0.157074	0.244604
0.598458	0.157006	0.244537
0.598582	0.156949	0.244469
0.598709	0.156891	0.2444
0.598844	0.156821	0.244335
0.598983	0.156735	0.244282
0.599123	0.156636	0.244241
0.599263	0.156533	0.244203
0.599391	0.156442	0.244167
0.599497	0.15637	0.244133
0.599587	0.156312	0.244101
0.599678	0.156255	0.244067
0.599776	0.156191	0.244033
0.599867	0.156129	0.244004
0.599945	0.156074	0.243981
0.600019	0.156026	0.243954
0.600099	0.155985	0.243916
0.60019	0.155941	0.243869
0.600293	0.155885	0.243822
0.600403	0.155814	0.243783
0.600531	0.15572	0.243749
0.600685	0.155606	0.243709
0.600858	0.155476	0.243666
0.60104	0.155335	0.243625
0.601231	0.155183	0.243586
0.601437	0.155017	0.243546
0.60166	0.154835	0.243505
0.601901	0.154636	0.243463
0.602163	0.154419	0.243418
0.602438	0.154187	0.243375
0.602707	0.153957	0.243336
0.602955	0.153752	0.243293
0.603172	0.153592	0.243236
